Problem,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,BEASTpred,bRate,TEST_TRAIN,BEASTNET
12843,25,1.0,25,-,1,35,0.01,28,-,1,0,3.07,0.696491206,3.0,10.0,6.5,0.892857143,1,1.0,1.0,1.0,0.0,0.0,1,3.07,3.07,0.0,1.0,0.9125,TRAIN,0.7009233412358288
4834,3,1.0,3,-,1,9,0.6,5,R-skew,4,0,4.4,4.054626987,2.0,17.0,7.2,0.6,1,1.0,1.0,1.0,0.0,0.0,1,4.4,4.4,-3.55e-15,1.0,0.933333333,TRAIN,0.7410950137147292
6351,16,1.0,16,-,1,68,0.01,22,-,1,0,6.46,4.576942211,6.0,52.0,29.0,0.727272727,1,1.0,1.0,1.0,0.0,0.0,1,6.46,6.46,0.0,1.0,0.8375,TRAIN,0.8454498389994111
13246,95,0.25,-45,-,1,108,0.25,-42,Symm,8,1,5.5,4.333494808,3.0,16.5,66.33333333,0.933333333,1,1.0,1.0,1.0,0.0,0.0,1,5.5,5.5,0.0,1.0,0.6375,TRAIN,0.8247592448715579
8420,26,0.75,22,-,1,82,0.01,31,-,1,1,6.51,3.342385122,9.0,56.0,32.5,0.709677419,1,1.0,1.0,1.0,0.0,0.0,1,6.51,6.51,0.0,1.0,0.76,TRAIN,0.8521958956834709
10003,4,1.0,4,-,1,1,0.4,-4,-,1,0,-6.0,2.449489743,-8.0,-3.0,-5.5,0.0,1,-1.0,-1.0,-1.0,-0.6002,-0.5985,-1,-6.0,-6.0,-9.6,0.0,0.0,TRAIN,0.17092847789608717
13179,0,1.0,0,-,1,14,0.4,1,-,1,0,6.2,6.368673331,1.0,14.0,7.5,0.0,1,1.0,1.0,1.0,1.0,1.0,1,6.2,6.2,14.0,1.0,0.95,TRAIN,0.8043402206376268
9430,9,1.0,9,-,1,15,0.4,14,-,1,0,5.4,0.489897949,5.0,6.0,5.5,0.642857143,1,1.0,1.0,1.0,0.0,0.0,1,5.4,5.4,0.0,1.0,0.9,TRAIN,0.7792680966823691
6113,17,1.0,17,-,1,61,0.2,18,Symm,8,0,9.6,17.21017141,1.0,47.5,39.22222222,0.944444444,1,1.0,1.0,1.0,0.0,0.0,1,9.6,9.6,7.11e-15,1.0,0.85,TRAIN,0.8448988455335729
9468,-1,1.0,-1,-,1,22,0.05,2,R-skew,2,0,4.0,4.364630569,3.0,24.0,16.33333333,0.0,1,1.0,1.0,1.0,1.0,1.0,1,4.0,4.0,48.0,1.0,0.952941176,TRAIN,0.8030852730428801
7626,20,1.0,20,-,1,17,0.95,-22,-,1,0,-4.95,8.49985294,-42.0,-3.0,-22.5,0.0,1,-1.0,-1.0,-1.0,-0.048,-0.0504,-1,-4.95,-4.95,-4.2,0.0,0.093333333,TRAIN,0.1998180162946276
13414,-10,1.0,-10,-,1,-15,0.9,-33,L-skew,3,0,-6.8,5.878775383,-23.0,-3.0,-10.0,0.303030303,-1,-1.0,-1.0,-1.0,0.0,0.0,-1,-6.8,-6.8,0.0,0.0,0.0875,TRAIN,0.1837999946852327
13087,17,1.0,17,-,1,87,0.1,18,-,1,0,7.9,20.7,1.0,70.0,35.5,0.944444444,1,1.0,1.0,1.0,0.0,0.0,1,7.9,7.9,0.0,1.0,0.92,TRAIN,0.7657063709534263
12478,7,1.0,7,-,1,18,0.05,8,L-skew,2,0,1.5,2.19089023,1.0,12.0,7.666666667,0.875,1,1.0,1.0,1.0,0.0,0.0,1,1.5,1.5,0.0,1.0,0.706666667,TRAIN,0.639870358750404
4733,25,1.0,25,-,1,22,0.95,-7,-,1,0,-4.45,6.320403468,-32.0,-3.0,-17.5,0.0,1,-1.0,-1.0,-1.0,-0.0524,-0.0509,-1,-4.45,-4.45,-3.2,0.0,0.0375,TRAIN,0.20958460495565506
