Problem,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,BEASTpred,bRate,TEST_TRAIN
10847,54,0.5,-30,-,1,13,0.75,-10,R-skew,5,0,-4.75,-30.05481268,20.0,-15.0,2.5,0.333333333,1,0.0096,0.0126,0.0018,0.2536,0.2479,0,-4.75,-4.75,42.0,0.4648,0.568421053,TRAIN
9702,25,0.25,14,-,1,52,0.01,21,-,1,1,4.56,-1.678678666,7.0,27.0,17.0,0.666666667,1,0.5104,0.5354,1.0,0.0,0.0,0,4.56,4.56,0.0,0.9475,0.666666667,TRAIN
2779,18,0.8,-13,-,1,58,0.2,13,L-skew,2,0,10.2,5.605554698,26.0,41.0,40.5,0.0,1,-0.1842,-0.2784,1.0,0.1947,0.2057,0,10.2,10.2,28.8,0.974,0.7625,TRAIN
11048,20,1.0,20,-,1,17,0.5,14,Symm,4,0,-4.5,1.620185175,-6.0,-1.5,-3.6,0.7,1,-1.0,-1.0,-1.0,0.0,0.0,-1,-4.5,-4.5,0.0,0.0,0.3,TRAIN
13554,18,1.0,18,-,1,28,0.6,-4,-,1,0,-2.8,15.67673435,-22.0,10.0,-6.0,0.0,1,0.2046,0.1942,0.0016,-0.402,-0.4032,0,-2.8,-2.8,-25.6,0.3307,0.3375,TRAIN
11923,-10,0.99,-11,-,1,2,0.75,-13,-,1,1,8.26,6.395691785,-2.0,12.0,5.0,0.846153846,1,0.5002,0.516,0.0026,0.7545,0.7537,0,8.26,8.26,22.5,0.9874,0.8875,TRAIN
13400,0,1.0,0,-,1,13,0.75,-23,-,1,0,4.0,15.58845727,-23.0,13.0,-5.0,0.0,1,0.4936,0.483,0.0206,0.4894,0.5038,0,4.0,4.0,18.0,0.6413,0.65,TRAIN
952,20,1.0,20,-,1,17,0.75,-14,R-skew,3,0,-10.75,13.58997792,-34.0,1.0,-10.25,0.0,1,-0.6194,-0.6212,-0.4998,-0.2567,-0.2493,0,-10.75,-10.75,-17.5,0.0041,0.1875,TRAIN
206,22,1.0,22,-,1,56,0.4,-8,-,1,0,-4.4,31.35346871,-30.0,34.0,2.0,0.0,1,-0.201,-0.201,-0.0166,-0.5928,-0.6054,0,-4.4,-4.4,-76.8,0.2851,0.3625,TRAIN
14032,6,0.9,5,-,1,6,1.0,6,-,1,0,0.1,-0.3,1.0,0.0,0.5,0.833333333,1,0.0977,0.1056,0.4911,0.0,0.0,1,0.1,0.1,0.0,1.0,0.746666667,TRAIN
4049,4,1.0,4,-,1,5,0.8,2,-,1,0,0.4,1.2,-2.0,1.0,-0.5,0.5,1,0.5992,0.6022,0.0088,0.0,0.0,0,0.4,0.4,0.0,0.5882,0.666666667,TRAIN
108,-2,1.0,-2,-,1,7,0.4,4,L-skew,6,0,7.2,7.652450588,-48.0,14.0,-3.428571429,0.04,1,0.9272,0.9248,0.2768,0.9528,0.9496,0,7.2,7.2,117.8,0.8112,0.7875,TRAIN
8878,29,1.0,29,-,1,78,0.1,16,-,1,0,-6.8,18.6,-13.0,49.0,18.0,0.551724138,1,-0.7982,-0.8028,0.0184,0.0,0.0,0,-6.8,-6.8,0.0,0.2865,0.4,TRAIN
4122,16,1.0,16,-,1,25,0.1,17,Symm,6,0,1.8,2.425901894,1.0,11.5,7.857142857,0.941176471,1,1.0,1.0,1.0,0.0,0.0,1,1.8,1.8,0.0,1.0,0.788235294,TRAIN
11125,5,0.2,4,-,1,12,0.6,-23,-,1,0,-6.2,16.7464282,-27.0,7.0,-10.0,0.0,1,0.2012,0.2058,0.0058,-0.3993,-0.4019,0,-6.2,-6.2,-28.0,0.2177,0.247058824,TRAIN
2722,29,1.0,29,-,1,29,0.99,2,-,1,0,-0.27,2.68646608,-27.0,0.0,-13.5,0.068965517,1,-0.0108,-0.0093,-0.505,0.0,0.0,-1,-0.27,-0.27,0.0,0.0,0.364705882,TRAIN
6622,84,0.1,-18,-,1,-10,0.8,-12,-,1,0,-2.6,-29.8,6.0,-94.0,-44.0,0.666666667,1,0.7988,0.7982,0.0176,-0.0975,-0.099,0,-2.6,-2.6,-20.4,0.5702,0.625,TRAIN
2085,78,0.05,-9,-,1,30,0.05,-12,-,1,0,-5.25,-9.807522623,-3.0,-48.0,-25.5,0.75,1,-1.0,-0.9008,-1.0,0.0,-0.0064,-1,-5.25,-5.25,0.0,0.0431,0.075,TRAIN
5530,12,1.0,12,-,1,30,0.1,8,-,1,0,-1.8,6.6,-4.0,18.0,7.0,0.666666667,1,-0.7926,-0.7998,0.0028,0.0,0.0,0,-1.8,-1.8,0.0,0.332,0.4375,TRAIN
